Општина,Населено место,Градба/место
Велес,Велес,Велешка тврдина
Велес,Велес,Фазил Ахмет-пашина џамија
Велес,Велес,Куќа на ул. „9 Ноември“ бр. 54
Велес,Велес,Куќа на ул. „9 Ноември“ бр. 30
Велес,Велес,Варналиите
Виница,Виница,Виничко кале
Виница,Виница,Археолошко наоѓалиште „Горица“
Виница,Виница,Куќа на Ќазим-бег
Гевгелија,Гевгелија,Археолошко наоѓалиште „Сува Река“
Гевгелија,Гевгелија,Археолошко наоѓалиште „Вардарски Рид“
Гевгелија,Гевгелија,Гевгелиски амам
Гевгелија,Гевгелија,ЖС „Гевгелија“
Гевгелија,Гевгелија,НУ Музеј - Гевгелија (Музеј „Митко Зафиров“)
Гевгелија,Гевгелија,Куќа на ул. „Маршал Тито“ бр. 170
Гевгелија,Гевгелија,Андреев конак
Гевгелија,Гевгелија,Зграда на Библиотеката„Гоце Делчев“
Гевгелија,Гевгелија,Кангов конак
Гевгелија,Гевгелија,Зграда на Општина Гевгелија
Гевгелија,Гевгелија,Вила Тина
Гевгелија,Гевгелија,Гевгелиска чаршија
Гевгелија,Гевгелија,Градба на ул. „Маршал Тито“ бр. 97
Гевгелија,Гевгелија,Градба на ул. „7 Ноември“ бр. 2
Гевгелија,Конско,Училишна зграда
Гевгелија,Милетково,Археолошко наоѓалиште „Градишор/Мрамор“
Гевгелија,Прдејци,Археолошко наоѓалиште „Бистерна“
Гевгелија,Прдејци,Археолошко наоѓалиште „Ветка Црква“
Гевгелија,Смоквица,Црква „Св. Димитртиј“
Гевгелија,Смоквица,Агова чешма
Гостивар,Гостивар,Куќа на ул. „Кочо Зази“ бр. 85
Гостивар,Гостивар,Куќа на ул. „Иво Рибар Лола“ бр. 80
Гостивар,Гостивар,Бегова куќа
Гостивар,Гостивар,Куќа на ул. „Слободан Поповски“ бр. 1
Гостивар,Гостивар,Куќа на Канчески
Гостивар,Гостивар,Стара медреса
Гостивар,Гостивар,Црква „Св. Димитрија“
Гостивар,Гостивар,Градски центар
Гостивар,Гостивар,Куќа на ул. „Страхиња Симоноски“ бр. 10
Гостивар,Гостивар,Куќа на ул. „29 Ноември“ бр. 2
Гостивар,Гостивар,Куќа на ул. „29 Ноември“ бр. 4
Гостивар,Гостивар,Куќа на ул. „29 Ноември“ бр. 6
Гостивар,Гостивар,Куќа на ул. „Слободан Пепоски“ бр. 46
Гостивар,Гостивар,Куќа на ул. „ЈНА“ бр. 65
Гостивар,Гостивар,Куќа на ул. „ЈНА“ бр. 72-80
Гостивар,Гостивар,Градба на ул. „ЈНА“ бр. 12 и 14
Гостивар,Гостивар,Градба на ул. „ЈНА“ бр. 16
Гостивар,Гостивар,Градба на ул. „ЈНА“ бр. 18
Гостивар,Гостивар,Градба на ул. „ЈНА“ бр. 57
Гостивар,Гостивар,Градба на ул. „ЈНА“ бр. 82-88
Гостивар,Гостивар,Градба на ул. „Борис Кидрич“ бр. 2
Гостивар,Гостивар,Куќа на ул. „Борис Кидрич“ бр. 2
