Број,Општина,Населено место,Градба/место,Фотографија,Unnamed: 5
583,Охрид (116),Охрид,Спомен-могила на Славеј Планина,,
584,Охрид (116),Охрид,Куќа на Григор Прличев,,
585,Охрид (116),Охрид,Заедничка гробница на паднатите борци во НОБ,,
587,Охрид (116),Охрид,Куќа со спомен-плоча на ул. „Климентска“ бр. 75,,
588,Охрид (116),Охрид,Спомен-плоча на карпата кај „Баирот“,,
589,Охрид (116),Охрид,Дрво „Кочеџик“ во комплексот „Св. Климент“,,
590,Охрид (116),Охрид,Куќа на Кадри Шех,,
592,Охрид (116),Охрид,Куќа на Петруш Вангелов,,
593,Охрид (116),Охрид,Куќа на Фроса Тримчева,,
594,Охрид (116),Охрид,Куќа на Славка Џамбаз,,
595,Охрид (116),Охрид,Куќа на Арнаудови,,
597,Охрид (116),Охрид,Куќа на Талеви,,
598,Охрид (116),Охрид,Куќа на Бојаџиеви,,
599,Охрид (116),Охрид,Куќа на Димзови,,
600,Охрид (116),Охрид,Куќа на Климе Банде,,
601,Охрид (116),Охрид,Куќа на ул. „Маршал Толбухин“ бр. 2,,
605,Охрид (116),Охрид,Куќа на ул. „Свети Климент Охридски“ бр. 21,,
614,Охрид (116),Охрид,Куќа на Чаулеви,,
615,Охрид (116),Охрид,Куќа на Ајри Доко,,
618,Охрид (116),Охрид,Куќа на Робевци,,
602,Охрид (116),Охрид,Зграда на Радио Охрид,,
603,Охрид (116),Охрид,Магаза на Сулејман Хамди Џељо,,
604,Охрид (116),Охрид,Магаза на Адиљ,,
606,Охрид (116),Охрид,Магаза на Тилеви,,
607,Охрид (116),Охрид,Куќа на Љушеви,,
608,Охрид (116),Охрид,Куќа на Климент Талев,,
591,Охрид (116),Охрид,Куќа на Стефоски,,
609,Охрид (116),Охрид,Магаза на Голеви,,
610,Охрид (116),Охрид,Магаза на Симончеви,,
611,Охрид (116),Охрид,Куќа на Ѓинековци,,
612,Охрид (116),Охрид,Магаза на Кичеевци,,
613,Охрид (116),Охрид,Куќа на Стружанови,,
616,Охрид (116),Охрид,Куќа на ул. „Цар Самоил“ бр. 55,,
617,Охрид (116),Охрид,Куќа на ул. „Цар Самоил“ бр. 59,,
619,Охрид (116),Охрид,Куќа на Коле Котуше,,
620,Охрид (116),Охрид,Куќа на ул. „Страшо Пинџур“ бр. 2,,
621,Охрид (116),Охрид,Куќа на ул. „Страшо Пинџур“ бр. 20,,
622,Охрид (116),Охрид,Поранешна куќа на „Охридско лето“,,
623,Охрид (116),Охрид,Куќа на Групчеви,,
624,Охрид (116),Охрид,Куќа на Ѓурчинови,,
625,Охрид (116),Охрид,Куќа на Митрески,,
626,Охрид (116),Охрид,Куќа на ул. „7 Ноември“ бр. 3,,
627,Охрид (116),Охрид,Куќа на ул. „7 Ноември“ бр. 5,,
628,Охрид (116),Охрид,Куќа на Паунковци,,
629,Охрид (116),Охрид,Куќа на МАНУ,,
630,Охрид (116),Охрид,Магаза на Филипови,,
631,Охрид (116),Охрид,Куќа на Петанови,,
632,Охрид (116),Охрид,Куќа на Хаџиеви,,
633,Охрид (116),Охрид,Работничко училиште,,
634,Охрид (116),Охрид,Музеј на словенската писменост,,
635,Охрид (116),Охрид,Стар град,,
636,Охрид (116),Охрид,Саат-кула,,
637,Охрид (116),Охрид,Самуилова тврдина,,
638,Охрид (116),Охрид,Теќе „Зејнел Абедин-паша“,,
639,Охрид (116),Охрид,Турбе на Синан Челеби,,
640,Охрид (116),Охрид,Црква „Св. Климент и Пантелејмон“,,
641,Охрид (116),Охрид,Црква „Св. Богородица Челница“,,
642,Охрид (116),Охрид,Црква „Мали Свети Врачи“,,
643,Охрид (116),Охрид,Црква „Св. Димитриј“,,
644,Охрид (116),Охрид,Црква „Св. Богородица Болничка“,,
645,Охрид (116),Охрид,Црква „Св. Никола Болнички“,,
646,Охрид (116),Охрид,Црква „Пресвета Богородица Перивлептос“,,
647,Охрид (116),Охрид,Црква „Св. Климент Охридски“,,
648,Охрид (116),Охрид,Црква „Св. Јован Канео“,,
649,Охрид (116),Охрид,Црква „Св. Софија“,,
650,Охрид (116),Охрид,Црква „Св. Константин и Елена“,,
651,Охрид (116),Охрид,Црква „Св. Богородица Каменско“,,
652,Охрид (116),Охрид,Црква „Св. Никола Геракомија“,,
653,Охрид (116),Охрид,Црква „Св. Никола Арбанашки“,,
654,Охрид (116),Охрид,Црква „Св. Никола Чудотворец“,,
655,Охрид (116),Охрид,Алипашина џамија,,
656,Охрид (116),Охрид,Ајдарпашина џамија,,
657,Охрид (116),Охрид,Џамија на Хаџи Дургут,,
658,Охрид (116),Охрид,Џамија на Хаџи Хамза,,
658,Охрид (116),Охрид,Кулоглу џамија,,
658,Охрид (116),Охрид,Емин Махмуд џамија,,
658,Охрид (116),Охрид,Кешанли џамија,,
659,Охрид (116),Охрид,Охридско природно и културно-историско подрачје,,
660,Охрид (116),Охрид,Охридско Кале/Горни Сарај,,
659,Охрид (116),Охрид,Полинхонална ранохристијанска црква кај Имарет,,
663,Охрид (116),Охрид,Археолошко наоѓалиште „Плаошник“,,
661,Охрид (116),Охрид,Хотел „Палас“,,
664,Охрид (116),Охрид,Археолошко наоѓалиште „Св. 40 Севастиски Маченици“,,
662,Охрид (116),Охрид,Студенчишка базилика,,
665,Охрид (116),Охрид,Црква „Големи Свети Врачи“,,
666,Охрид (116),Охрид,Црква „Св. Георгиј“,,
667,Охрид (116),Охрид,Црква „Св. Никола“,,
576,Охрид (116),Охрид,Манчевци,,
596,Охрид (116),Охрид,Поранешно училиште „Свети Сава“,,
586,Охрид (116),Охрид,Спомен-плоча на паднатите професори и ученици во НОБ од охридската гимназија,,
669,Охрид (116),Пештани,Црква „Св. Богородица Пештанска“,,
670,Охрид (116),Пештани,Залив на Коските,,
671,Охрид (116),Трпејца,Црква „Св. Богородица“,,
672,Охрид (116),Шипокно,Црква „Св. Стефан“,,
673,Петровец (3),Бадар,Бадеријана,,
674,Петровец (3),Дивље,Црква „Успение на Пресвета Богородица“,,
675,Петровец (3),Летевци,Маркови Кули,,
676,Пехчево (2),Робово,Археолошко наоѓалиште „Мачевски Чуки“,,
677,Пехчево (2),Чифлик,Археолошко наоѓалиште „Село“,,
678,Пласница (1),Пласница,Црква „Св. Никола“,,
679,Прилеп (186),Бешиште,Чебренски манастир,,
680,Прилеп (186),Варош,Црква „Св. Никола“,,
681,Прилеп (186),Варош,Црква „Св. Димитриј“,,
682,Прилеп (186),Варош,Црква „Св. Атанасиј“,,
683,Прилеп (186),Варош,Црква „Воведение на Пресвета Богородица“,,
684,Прилеп (186),Варош,Црква „Св. Петар и Павле“,,
685,Прилеп (186),Варош,Црква „Св. Архангел Михаил“,,
686,Прилеп (186),Дабница,Трескавец,,
180,Прилеп (186),Загорани,Црква „Св. Никола“,,
687,Прилеп (186),Манастир,Мариовски манастир,,
688,Прилеп (186),Манастир,Црква „Св. Богородица“,,
689,Прилеп (186),Прилеп,Црква „Св. Благовештение“,,
690,Прилеп (186),Прилеп,Згради на Заводот за заштита на спомениците на културата и музеј – Прилеп,,
691,Прилеп (186),Прилеп,Амам,,
692,Прилеп (186),Прилеп,Турска бања,,
693,Прилеп (186),Прилеп,Куршумли ан,,
694,Прилеп (186),Прилеп,Комплекс Варош,,
695,Прилеп (186),Прилеп,Дуќан на ул. „Блаже Крсточанец“ бр. 1,,
696,Прилеп (186),Прилеп,Дуќан на ул. „Блаже Крсточанец“ бр. 2,,
697,Прилеп (186),Прилеп,Дуќан на ул. „Блаже Крсточанец“ бр. 3 - за налани,,
698,Прилеп (186),Прилеп,Дуќан на ул. „Блаже Крсточанец“ бр. 5,,
699,Прилеп (186),Прилеп,Дуќан на ул. „29 Ноември“ бр. 3,,
700,Прилеп (186),Прилеп,Дуќан на ул. „29 Ноември“ бр. 4,,
701,Прилеп (186),Прилеп,Дуќан на ул. „29 Ноември“ бр. 5,,
702,Прилеп (186),Прилеп,Дуќан на ул. „29 Ноември“ бр. 10,,
703,Прилеп (186),Прилеп,Дуќан на ул. „29 Ноември“ бр. 11,,
704,Прилеп (186),Прилеп,Дуќан на ул. „29 Ноември“ бр. 12,,
705,Прилеп (186),Прилеп,Дуќан на ул. „29 Ноември“ бр. 14,,
706,Прилеп (186),Прилеп,Дуќан на ул. „Рампе Стојаноски“ бр. 23,,
707,Прилеп (186),Прилеп,Дуќан на ул. „Рампе Стојаноски“ бр. 25,,
708,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 5,,
709,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 7,,
710,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 9,,
711,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 11,,
712,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 13,,
713,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 15,,
714,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 17,,
715,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 19 за трукерај,,
716,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 19 – касапница,,
717,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 21,,
718,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 23,,
719,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 23а,,
720,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 25,,
721,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 25а,,
722,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 27,,
723,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 33,,
724,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 35,,
725,Прилеп (186),Прилеп,Дуќан на ул. „Борка Талески“ бр. 37,,
726,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 1,,
727,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 3,,
728,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 7,,
729,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 13,,
730,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 15,,
731,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 17,,
732,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 19,,
733,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 21,,
734,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 23,,
735,Прилеп (186),Прилеп,Дуќан на ул. „Херој Карпош“ бр. 27,,
736,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 7,,
737,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 9,,
738,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 11,,
739,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 13,,
740,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 15,,
741,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 16,,
742,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 17,,
743,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 18,,
744,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 19,,
745,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 20,,
746,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 21,,
747,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 22,,
748,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 23,,
749,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 24,,
750,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 30,,
751,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 32,,
752,Прилеп (186),Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 34,,
753,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 9,,
754,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 12,,
755,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 13,,
756,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 14,,
757,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 15,,
758,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 16,,
759,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 17,,
760,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 19,,
761,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 20,,
762,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 21,,
763,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 22,,
764,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 23,,
765,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 24,,
766,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 25,,
767,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 26,,
768,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 27,,
769,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 28,,
770,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 29,,
771,Прилеп (186),Прилеп,Дуќан на ул. „Јане Сандански“ бр. 30,,
772,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 1,,
773,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 2,,
774,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 3,,
775,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 4,,
776,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 5,,
777,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 6,,
778,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 9,,
779,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 10,,
780,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 11,,
781,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 13,,
782,Прилеп (186),Прилеп,Дуќан на ул. „Орце Николов“ бр. 15,,
783,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 15,,
784,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 17,,
785,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 18,,
786,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 19,,
787,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 21,,
788,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 23,,
789,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 24,,
790,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 25,,
791,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 31,,
792,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 32,,
793,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 36,,
794,Прилеп (186),Прилеп,Дуќан на ул. „Караорман“ бр. 38,,
795,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 1,,
796,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 3,,
797,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 4,,
798,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 5,,
799,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 6,,
800,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 7,,
801,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 8,,
802,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 9,,
803,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 10,,
804,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 10/а,,
805,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 11,,
806,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 12,,
807,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 14,,
808,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 18,,
809,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 20,,
810,Прилеп (186),Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 22,,
811,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 2,,
812,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 5,,
813,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 6,,
814,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 7,,
815,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 8,,
816,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 9,,
817,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 11,,
818,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 12,,
819,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 12а,,
820,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 14,,
821,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 15,,
822,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 18,,
823,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 19,,
824,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 21,,
825,Прилеп (186),Прилеп,Дуќан на ул. „Стив Наумов“ бр. 25,,
826,Прилеп (186),Прилеп,Дуќан на ул. „Цветан Димов“ бр. 2,,
827,Прилеп (186),Прилеп,Дуќан на ул. „Цветан Димов“ бр. 6,,
828,Прилеп (186),Прилеп,Дуќан на ул. „Цветан Димов“ бр. 6а,,
829,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 31,,
830,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 33,,
831,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 35,,
832,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 37 – продавница,,
833,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 37 - фризерски салон,,
834,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 39,,
835,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 43,,
836,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 45,,
837,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 47,,
838,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 48,,
839,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 49,,
840,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 50,,
841,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 52,,
842,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 54,,
843,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 56,,
844,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 58,,
845,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 60,,
846,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 62,,
847,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 64,,
848,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 66,,
849,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 68,,
850,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 70,,
851,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 72,,
852,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 74,,
853,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 76,,
854,Прилеп (186),Прилеп,Дуќан на ул. „Илинденска“ бр. 78,,
855,Прилеп (186),Прилеп,Дуќан на ул. „Ленинова“ бр. 114,,
856,Прилеп (186),Прилеп,Куќа на Кузман Јосифоски – Питу,,
857,Прилеп (186),Прилеп,Могила на непобедените,,
858,Прилеп (186),Прилеп,Саат кула,,
859,Прилеп (186),Прилеп,Прилепска чаршија,,
860,Прилеп (186),Прилеп,Чарши џамија,,
861,Прилеп (186),Прилеп,Скршена џамија,,
862,Прилеп (186),Прилеп,Меморијален музеј „11 Октомври“,,
863,Прилеп (186),Прилеп,Маркови Кули,,
864,Чепигово,Археолошко наоѓалиште „Стибера“,,,
865,Пробиштип (4),Злетово,Црква „Св. Трифун“,,
866,Пробиштип (4),Злетово,Црква „Успение на Пресвета Богородица“,,
866,Пробиштип (4),Злетово,Црква „Св. Богородица Балаклија“,,
867,Пробиштип (4),Лесново,Лесновски манастир,,
868,Радовиш (4),Радовиш,Радовишко кале,,
869,Радовиш (4),Радовиш,Куќа на Ристо Консулов,"Куќата е срушена, на нејзино место се наоѓа станбен објект",
870,Радовиш (4),Радовиш,Црква „Св. Илија“,,
871,Радовиш (4),Радовиш,Радовишко турбе,,
872,Ранковце (5),Гиновци,Црква „Св. Никола“,,
873,Ранковце (5),Милутинце,Археолошко наоѓалиште „Градиште“,,
874,Ранковце (5),Опила,Археолошко наоѓалиште „Градиште“,,
875,Ранковце (5),Петралица,Црква „Св. Ѓорѓи“,,
876,Ранковце (5),Псача,Црква „Св. Никола“,,
877,Ресен (13),Асамати,Археолошко наоѓалиште „Ружин Гроб“,,
878,Ресен (13),Болно,Куќа на Мите Богоевски,,
879,Ресен (13),Брајчино,Црква „Св. Петка“,,
880,Ресен (13),Голем Град,Црква „Св. Петар“,,
881,Ресен (13),Грнчари,Црква „Св. Илија“,,
882,Ресен (13),Јанковец,Куќа во Јанковец,,
883,Ресен (13),Коњско,Село Коњско,,
884,Ресен (13),Курбиново,Црква „Св. Ѓорѓи“,,
883,Ресен (13),Љубојно,Село Љубојно,,
885,Ресен (13),Ресен,Ресенски сарај,,
885,Ресен (13),Ресен,Куќа на ул. „Кочо Рацин“ бр. 22,,
886,Ресен (13),Ресен,Спомен-куќа на Татарчеви,,
887,Ресен (13),Сливница,Сливнички манастир,,
888,Росоман (1),Манастирец,Средновековна кула,,
889,Свети Николе (5),Амзабегово,Археолошко наоѓалиште „Барутница“,,
890,Свети Николе (5),Буриловци,Црква „Св. Никола“,,
891,Свети Николе (5),Горобинци,Археолошко наоѓалиште „Руг Баир“,,
891,Свети Николе (5),Кнежје,Археолошко наоѓалиште „Градиште“,,
892,Свети Николе (5),Свети Николе,Стара општинска зграда,,
893,Старо Нагоричане (12),Жегљане,Црква „Св. Ѓорѓи“,,
894,Старо Нагоричане (12),Кокино,Кокино,,
895,Старо Нагоричане (12),Младо Нагоричане,Зебрњак,,
896,Старо Нагоричане (12),Младо Нагоричане,Костоперска Карпа,,
897,Старо Нагоричане (12),Младо Нагоричане,Црква „Св. Ѓорѓи Победоносец“,,
898,Старо Нагоричане (12),Младо Нагоричане,Црква „Св. Петка“,,
899,Старо Нагоричане (12),Орах,Црква „Воведение на Пресвета Богородица“,,
899,Старо Нагоричане (12),Орах,Црква „Св. Никола и Св. Ѓорѓи“,,
900,Старо Нагоричане (12),Старо Нагоричане,Црква „Св. Ѓорѓи“,,
901,Старо Нагоричане (12),Старо Нагоричане,Забелски манастир,,
902,Старо Нагоричане (12),Стрезовце,Црква „Св. Никола“,,
903,Старо Нагоричане (12),Челопек,Црква „Св. Троица“,,
904,Струга (30),Враништа,Црква „Воведение на Пресвета Богородица“,,
180,Струга (30),Горна Белица,Археолошко наоѓалиште „Горна Белица“,,
905,Струга (30),Горна Белица,Црква „Св. Петка“,,
940,Струга (30),Делогожди,Базилика „Св. Илија“,,
906,Струга (30),Калишта,Црква „Св. Атанасиј“,,
907,Струга (30),Калишта,Црква „Св. Богородица“ со Калишки манастир,,
941,Струга (30),Корошишта,Латинска Црква,,
908,Струга (30),Октиси,Археолошко наоѓалиште „Вајтос“,,
909,Струга (30),Октиси,Црква „Св. Никола“ и комплексот на ранохристијанската базилика,,
910,Струга (30),Радожда,Црква „Св. Архангел Михаил“,,
911,Струга (30),Радолишта,Цигански Гроб,,
912,Струга (30),Струга,Амам „Мустафа Челеби“,,
912,Струга (30),Струга,Теќе „Халвети“,,
915,Струга (30),Струга,Куќа на ул. „Гоце Делчев“ бр. 33,,
916,Струга (30),Струга,Куќа на ул. „Гоце Делчев“ бр. 60,,
920,Струга (30),Струга,Куќа на ул. „Гоце Делчев“ бр. 82,,
921,Струга (30),Струга,Куќа на ул. „Гоце Делчев“ бр. 84,,
924,Струга (30),Струга,Куќа на Каневчеви,,
925,Струга (30),Струга,Спомен-галерија „Вангел Коџоман“,,
926,Струга (30),Струга,Куќа на ул. „Браќа Миладиновци“ бр. 30,,
927,Струга (30),Струга,Куќа на ул. „Браќа Миладиновци“ бр. 32,,
931,Струга (30),Струга,Куќа на Карамитре,,
935,Струга (30),Струга,Куќа на ул. „Димче Кошарко“ бр. 42,,
936,Струга (30),Струга,Црква „Св. Ѓорѓи“,,
939,Струга (30),Струга,Џамија „Мустафа Челеби“,,
927,Струга (30),Струга,Куќа на ул. „Цар Самоил“ бр. 44 и 46,,
927,Струга (30),Струга,Спомен-дом на Браќа Миладиновци,,
927,Струга (30),Струга,Управна зграда на Националниот музеј „Д-р Никола Незлобински“,,
937,Струга (30),Струга,Зграда на Народна одбрана,,
938,Струга (30),Струга,Образовен комплекс на ул. „Партизанска“ бр. 4 (Стара зграда на ОУ „Браќа Миладиновци“ и Зграда на Министерството за образование),,
942,Струмица (68),Банско,Археолошко наоѓалиште „Св. 40 Севастиски Маченици“,,
943,Струмица (68),Вељуса,Вељушки манастир,,
944,Струмица (68),Вељуса,Куќа на Пееви,,
945,Струмица (68),Вељуса,Куќа бр. 228,,
946,Струмица (68),Вељуса,Куќа бр. 261,,
947,Струмица (68),Водоча,Водочки манастир,,
948,Струмица (68),Струмица,Црква „Св. Петнаесет тивериополски маченици“,,
949,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 1,,
950,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 3,,
951,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 5,,
952,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 6,,
953,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 7,,
954,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 9,,
955,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 10,,
956,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 11,,
957,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 12,,
958,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 13,,
959,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 14,,
