Број,Општина,Населено место,Градба/место,Фотографија,Unnamed: 5
92,Битола (162),Битола,Куќа на ул. „Добривое Радосављевиќ“ бр. 3,,
93,Битола (162),Битола,Куќа на ул. „Добривое Радосављевиќ“ бр. 2,,
94,Битола (162),Битола,Куќа на ул. „Никола Тесла“ бр. 103,,
95,Битола (162),Битола,Амбиентална улица „Широк сокак“,,
96,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 58,,
97,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 56,,
98,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 54,,
99,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 42,,
100,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 42-а,,
101,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 44-а,,
102,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 52,,
103,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 48,,
104,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 32,,
105,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 34,,
106,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 37,,
107,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 46,,
108,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 65,,
109,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 28,,
110,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 30,,
111,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 42-б,,
112,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 41,,
113,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 49,,
114,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 77,,
115,Битола (162),Битола,Куќа на ул. „Стерјо Георгиев“ бр. 40,,
116,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 43,,
117,Битола (162),Битола,Куќа на бул. „Први Мај“ бр. 126 и 126-а,,
118,Битола (162),Битола,Куќа на ул. „Солунска“ бр. 268,,
119,Битола (162),Битола,Куќа на ул. „Солунска“ бр. 268,,
120,Битола (162),Битола,Куќа на бул. „Први Мај“ бр. 53,,
121,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 111,,
122,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 82,,
123,Битола (162),Битола,Магаза на ул. „27 март“ бр. 3 и ул. „Добривое Радосављевиќ“ бр. 4,,
124,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 99,,
125,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 97,,
126,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 84-а,,
127,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 88,,
